Unnamed: 0,cellID,cellType,sampleInfo,Ontology Id
Cell385,Cell385,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell386,Cell386,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell387,Cell387,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell388,Cell388,Ductal_terminal_ductal_like,sample1,CL:0000126
Cell389,Cell389,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell390,Cell390,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell391,Cell391,Cancer_clone_A,sample1,CL:0000151
Cell392,Cell392,Cancer_clone_A,sample1,CL:0000540
Cell393,Cell393,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell394,Cell394,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell395,Cell395,Ductal_MHC_Class_II,sample1,CL:0000540
Cell396,Cell396,Cancer_clone_B,sample1,CL:0000540
Cell397,Cell397,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell398,Cell398,Cancer_clone_A,sample1,CL:0000151
Cell399,Cell399,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell400,Cell400,Macrophages_A,sample1,CL:0002150
Cell401,Cell401,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell402,Cell402,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell403,Cell403,Ductal_MHC_Class_II,sample1,CL:0000151
Cell404,Cell404,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell405,Cell405,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell406,Cell406,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell407,Cell407,Ductal_APOL1_high-hypoxic,sample1,CL:0000540
Cell408,Cell408,Ductal_APOL1_high-hypoxic,sample1,CL:0000540
Cell409,Cell409,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell410,Cell410,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell411,Cell411,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell412,Cell412,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell413,Cell413,Cancer_clone_B,sample1,CL:0000151
Cell414,Cell414,Cancer_clone_B,sample1,CL:0000322
Cell415,Cell415,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell416,Cell416,Cancer_clone_B,sample1,CL:0000151
Cell417,Cell417,Ductal_MHC_Class_II,sample1,CL:0000322
Cell418,Cell418,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell419,Cell419,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell420,Cell420,Cancer_clone_B,sample1,CL:0000322
Cell421,Cell421,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell422,Cell422,Ductal_MHC_Class_II,sample1,CL:0000322
Cell423,Cell423,Ductal_MHC_Class_II,sample1,CL:0000322
Cell424,Cell424,Cancer_clone_B,sample1,CL:0000322
Cell425,Cell425,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell426,Cell426,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell427,Cell427,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell428,Cell428,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell429,Cell429,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell430,Cell430,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell431,Cell431,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell432,Cell432,Ductal_MHC_Class_II,sample1,CL:0000322
Cell433,Cell433,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell434,Cell434,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell435,Cell435,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell436,Cell436,Cancer_clone_A,sample1,CL:0000151
Cell437,Cell437,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell438,Cell438,Cancer_clone_B,sample1,CL:0000322
Cell439,Cell439,Ductal_MHC_Class_II,sample1,CL:0000126
Cell440,Cell440,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell441,Cell441,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell442,Cell442,Cancer_clone_A,sample1,CL:0000322
Cell443,Cell443,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell444,Cell444,Cancer_clone_B,sample1,CL:0000151
Cell445,Cell445,Ductal_MHC_Class_II,sample1,CL:0000151
Cell446,Cell446,Mast_cells,sample1,CL:0000151
Cell447,Cell447,Ductal_MHC_Class_II,sample1,CL:0000126
Cell448,Cell448,Ductal_MHC_Class_II,sample1,CL:0000151
Cell449,Cell449,Ductal_terminal_ductal_like,sample1,CL:0000540
Cell450,Cell450,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell451,Cell451,Ductal_MHC_Class_II,sample1,CL:0000322
Cell452,Cell452,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell453,Cell453,Ductal_MHC_Class_II,sample1,CL:0000322
Cell454,Cell454,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell455,Cell455,Cancer_clone_A,sample1,CL:0000322
Cell456,Cell456,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell457,Cell457,Ductal_MHC_Class_II,sample1,CL:0000322
Cell458,Cell458,Ductal_terminal_ductal_like,sample1,CL:0000126
Cell459,Cell459,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell460,Cell460,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell461,Cell461,Ductal_MHC_Class_II,sample1,CL:0000322
Cell462,Cell462,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell463,Cell463,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell464,Cell464,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell465,Cell465,Cancer_clone_A,sample1,CL:0000151
Cell466,Cell466,Ductal_MHC_Class_II,sample1,CL:0000126
Cell467,Cell467,Ductal_MHC_Class_II,sample1,CL:0000322
Cell468,Cell468,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell469,Cell469,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell470,Cell470,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell471,Cell471,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell472,Cell472,Ductal_terminal_ductal_like,sample1,CL:0000126
Cell473,Cell473,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell474,Cell474,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell475,Cell475,Ductal_MHC_Class_II,sample1,CL:0000322
Cell476,Cell476,Tuft_cells,sample1,CL:0000540
Cell477,Cell477,Macrophages_B,sample1,CL:0002150
Cell478,Cell478,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell479,Cell479,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell480,Cell480,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell481,Cell481,Cancer_clone_A,sample1,CL:0000540
Cell482,Cell482,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell483,Cell483,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell484,Cell484,Cancer_clone_A,sample1,CL:0000322
Cell485,Cell485,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell486,Cell486,Cancer_clone_A,sample1,CL:0000322
Cell487,Cell487,Ductal_MHC_Class_II,sample1,CL:0000126
Cell488,Cell488,Cancer_clone_A,sample1,CL:0000322
Cell489,Cell489,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell490,Cell490,Cancer_clone_A,sample1,CL:0000151
Cell491,Cell491,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell492,Cell492,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell493,Cell493,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell494,Cell494,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell495,Cell495,Ductal_MHC_Class_II,sample1,CL:0000322
Cell496,Cell496,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell497,Cell497,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell498,Cell498,Ductal_MHC_Class_II,sample1,CL:0000151
Cell499,Cell499,Ductal_APOL1_high-hypoxic,sample1,CL:0000064
Cell500,Cell500,Cancer_clone_B,sample1,CL:0000322
Cell501,Cell501,Cancer_clone_B,sample1,CL:0000322
Cell502,Cell502,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell503,Cell503,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell504,Cell504,Mast_cells,sample1,CL:0000151
Cell505,Cell505,Cancer_clone_A,sample1,CL:0000322
Cell506,Cell506,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell507,Cell507,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell508,Cell508,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell509,Cell509,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell510,Cell510,Cancer_clone_B,sample1,CL:0000064
Cell511,Cell511,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell512,Cell512,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell513,Cell513,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell514,Cell514,Cancer_clone_B,sample1,CL:0000322
Cell515,Cell515,Ductal_APOL1_high-hypoxic,sample1,CL:0000126
Cell516,Cell516,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell517,Cell517,Ductal_MHC_Class_II,sample1,CL:0000322
Cell518,Cell518,Cancer_clone_B,sample1,CL:0000322
Cell519,Cell519,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell520,Cell520,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell521,Cell521,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell522,Cell522,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell523,Cell523,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell524,Cell524,Ductal_MHC_Class_II,sample1,CL:0000126
Cell525,Cell525,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell526,Cell526,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell527,Cell527,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell528,Cell528,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell529,Cell529,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell530,Cell530,Cancer_clone_B,sample1,CL:0000322
Cell531,Cell531,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell532,Cell532,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell533,Cell533,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell534,Cell534,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell535,Cell535,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell536,Cell536,Ductal_APOL1_high-hypoxic,sample1,CL:0000064
Cell537,Cell537,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell538,Cell538,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell539,Cell539,Ductal_MHC_Class_II,sample1,CL:0000322
Cell540,Cell540,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell541,Cell541,Cancer_clone_A,sample1,CL:0000322
Cell542,Cell542,Cancer_clone_B,sample1,CL:0000322
Cell543,Cell543,Cancer_clone_B,sample1,CL:0000322
Cell544,Cell544,mDCs_A,sample1,CL:0000123
Cell545,Cell545,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell546,Cell546,Ductal_terminal_ductal_like,sample1,CL:0000126
Cell547,Cell547,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell548,Cell548,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell549,Cell549,Ductal_MHC_Class_II,sample1,CL:0000064
Cell550,Cell550,Ductal_MHC_Class_II,sample1,CL:0000126
Cell551,Cell551,Ductal_MHC_Class_II,sample1,CL:0000322
Cell552,Cell552,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell553,Cell553,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell554,Cell554,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell555,Cell555,Ductal_MHC_Class_II,sample1,CL:0000071
Cell556,Cell556,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell557,Cell557,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell558,Cell558,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell559,Cell559,Ductal_MHC_Class_II,sample1,CL:0000322
Cell560,Cell560,Ductal_MHC_Class_II,sample1,CL:0000126
Cell561,Cell561,Cancer_clone_B,sample1,CL:0000322
Cell562,Cell562,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell563,Cell563,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell564,Cell564,Ductal_terminal_ductal_like,sample1,CL:0000126
Cell565,Cell565,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell566,Cell566,Ductal_MHC_Class_II,sample1,CL:0000322
Cell567,Cell567,Cancer_clone_A,sample1,CL:0000151
Cell568,Cell568,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell569,Cell569,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell570,Cell570,Tuft_cells,sample1,CL:0000540
Cell571,Cell571,Cancer_clone_A,sample1,CL:0000540
Cell572,Cell572,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell573,Cell573,Tuft_cells,sample1,CL:0000151
Cell574,Cell574,Ductal_MHC_Class_II,sample1,CL:0000126
Cell575,Cell575,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell576,Cell576,Tuft_cells,sample1,CL:0000151
Cell577,Cell577,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell578,Cell578,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell579,Cell579,Cancer_clone_A,sample1,CL:0000322
Cell580,Cell580,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell581,Cell581,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell582,Cell582,Ductal_APOL1_high-hypoxic,sample1,CL:0000064
Cell583,Cell583,Ductal_MHC_Class_II,sample1,CL:0000126
Cell584,Cell584,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell585,Cell585,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell586,Cell586,Macrophages_B,sample1,CL:0002150
Cell587,Cell587,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell588,Cell588,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell589,Cell589,Ductal_MHC_Class_II,sample1,CL:0000126
Cell590,Cell590,Cancer_clone_B,sample1,CL:0000151
Cell591,Cell591,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell592,Cell592,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell593,Cell593,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell594,Cell594,Ductal_MHC_Class_II,sample1,CL:0000322
Cell595,Cell595,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell596,Cell596,Ductal_MHC_Class_II,sample1,CL:0000322
Cell597,Cell597,Cancer_clone_B,sample1,CL:0000322
Cell598,Cell598,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell599,Cell599,Cancer_clone_A,sample1,CL:0000151
Cell600,Cell600,Cancer_clone_B,sample1,CL:0000322
Cell601,Cell601,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell602,Cell602,Ductal_MHC_Class_II,sample1,CL:0000322
Cell603,Cell603,Ductal_MHC_Class_II,sample1,CL:0000151
Cell604,Cell604,mDCs_B,sample1,CL:0002150
Cell605,Cell605,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell606,Cell606,mDCs_B,sample1,CL:0002150
Cell607,Cell607,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell608,Cell608,T_cells_&_NK_cells,sample1,CL:2000054
Cell609,Cell609,Cancer_clone_A,sample1,CL:0000322
Cell610,Cell610,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell611,Cell611,Macrophages_A,sample1,CL:0002150
Cell612,Cell612,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell613,Cell613,Ductal_MHC_Class_II,sample1,CL:0000322
Cell614,Cell614,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell615,Cell615,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell616,Cell616,Macrophages_A,sample1,CL:0002150
Cell617,Cell617,Ductal_MHC_Class_II,sample1,CL:0000126
Cell618,Cell618,Ductal_MHC_Class_II,sample1,CL:0000151
Cell619,Cell619,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell620,Cell620,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell621,Cell621,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell622,Cell622,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell623,Cell623,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell624,Cell624,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell625,Cell625,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell626,Cell626,Cancer_clone_A,sample1,CL:0000322
Cell627,Cell627,Monocytes,sample1,CL:0000123
Cell628,Cell628,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell629,Cell629,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell630,Cell630,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell631,Cell631,Cancer_clone_B,sample1,CL:0000064
Cell632,Cell632,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell633,Cell633,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell634,Cell634,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell635,Cell635,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell636,Cell636,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell637,Cell637,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell638,Cell638,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell639,Cell639,Macrophages_A,sample1,CL:0002150
Cell640,Cell640,Ductal_terminal_ductal_like,sample1,CL:0000064
Cell641,Cell641,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell642,Cell642,Ductal_MHC_Class_II,sample1,CL:0000126
Cell643,Cell643,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell644,Cell644,Cancer_clone_A,sample1,CL:0000322
Cell645,Cell645,Ductal_MHC_Class_II,sample1,CL:0000322
Cell646,Cell646,Ductal_MHC_Class_II,sample1,CL:0000322
Cell647,Cell647,Ductal_MHC_Class_II,sample1,CL:0000064
Cell648,Cell648,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell649,Cell649,Ductal_MHC_Class_II,sample1,CL:0000322
Cell650,Cell650,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000071
Cell651,Cell651,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell652,Cell652,Cancer_clone_B,sample1,CL:0000322
Cell653,Cell653,Ductal_terminal_ductal_like,sample1,CL:0000064
Cell654,Cell654,Ductal_MHC_Class_II,sample1,CL:0000151
Cell655,Cell655,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell656,Cell656,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell657,Cell657,T_cells_&_NK_cells,sample1,CL:2000054
Cell658,Cell658,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell659,Cell659,Monocytes,sample1,CL:0002150
Cell660,Cell660,Cancer_clone_B,sample1,CL:0000151
Cell661,Cell661,Ductal_MHC_Class_II,sample1,CL:0000322
Cell662,Cell662,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000071
Cell663,Cell663,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell664,Cell664,Ductal_terminal_ductal_like,sample1,CL:0000071
Cell665,Cell665,Ductal_MHC_Class_II,sample1,CL:0000322
Cell666,Cell666,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell667,Cell667,Cancer_clone_A,sample1,CL:0000322
Cell668,Cell668,T_cells_&_NK_cells,sample1,CL:2000054
Cell669,Cell669,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell670,Cell670,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell671,Cell671,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell672,Cell672,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell673,Cell673,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell674,Cell674,Macrophages_A,sample1,CL:0002150
Cell675,Cell675,Cancer_clone_A,sample1,CL:0000322
Cell676,Cell676,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell677,Cell677,Ductal_MHC_Class_II,sample1,CL:0000126
Cell678,Cell678,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell679,Cell679,Ductal_APOL1_high-hypoxic,sample1,CL:0000126
Cell680,Cell680,Ductal_MHC_Class_II,sample1,CL:0000322
Cell681,Cell681,Ductal_MHC_Class_II,sample1,CL:0000322
Cell682,Cell682,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell683,Cell683,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell684,Cell684,Ductal_MHC_Class_II,sample1,CL:0000322
Cell685,Cell685,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell686,Cell686,Fibroblasts,sample1,CL:0002320
Cell687,Cell687,Ductal_terminal_ductal_like,sample1,CL:0000071
Cell688,Cell688,T_cells_&_NK_cells,sample1,CL:0000151
Cell689,Cell689,T_cells_&_NK_cells,sample1,CL:0000123
Cell690,Cell690,Cancer_clone_A,sample1,CL:0000322
Cell691,Cell691,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell692,Cell692,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell693,Cell693,Cancer_clone_B,sample1,CL:0000322
Cell694,Cell694,Macrophages_B,sample1,CL:0002150
Cell695,Cell695,T_cells_&_NK_cells,sample1,CL:2000054
Cell696,Cell696,Ductal_MHC_Class_II,sample1,CL:0000322
Cell697,Cell697,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell698,Cell698,Ductal_MHC_Class_II,sample1,CL:0000322
Cell699,Cell699,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell700,Cell700,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell701,Cell701,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell702,Cell702,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell703,Cell703,Macrophages_B,sample1,CL:0002150
Cell704,Cell704,T_cells_&_NK_cells,sample1,CL:2000054
Cell705,Cell705,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell706,Cell706,Ductal_MHC_Class_II,sample1,CL:0000064
Cell707,Cell707,Cancer_clone_A,sample1,CL:0000322
Cell708,Cell708,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell709,Cell709,Cancer_clone_A,sample1,CL:0000322
Cell710,Cell710,Monocytes,sample1,CL:0002150
Cell711,Cell711,Ductal_MHC_Class_II,sample1,CL:0000322
Cell712,Cell712,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell713,Cell713,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell714,Cell714,Ductal_APOL1_high-hypoxic,sample1,CL:0000322
Cell715,Cell715,Ductal_APOL1_high-hypoxic,sample1,CL:0000126
Cell716,Cell716,Monocytes,sample1,CL:0000064
Cell717,Cell717,Endothelial_cells,sample1,CL:0000322
Cell718,Cell718,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell719,Cell719,T_cells_&_NK_cells,sample1,CL:0002436
Cell720,Cell720,Macrophages_B,sample1,CL:0002150
Cell721,Cell721,T_cells_&_NK_cells,sample1,CL:0000151
Cell722,Cell722,Acinar_cells,sample1,CL:0000071
Cell723,Cell723,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell724,Cell724,T_cells_&_NK_cells,sample1,CL:2000054
Cell725,Cell725,Cancer_clone_A,sample1,CL:0000322
Cell726,Cell726,Ductal_MHC_Class_II,sample1,CL:0000322
Cell727,Cell727,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell728,Cell728,Ductal_MHC_Class_II,sample1,CL:0000322
Cell729,Cell729,Ductal_MHC_Class_II,sample1,CL:0000322
Cell730,Cell730,Cancer_clone_A,sample1,CL:0000322
Cell731,Cell731,RBCs,sample1,CL:0000071
Cell732,Cell732,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell733,Cell733,Cancer_clone_B,sample1,CL:0000064
Cell734,Cell734,Fibroblasts,sample1,CL:0002320
Cell735,Cell735,Ductal_MHC_Class_II,sample1,CL:0000322
Cell736,Cell736,Ductal_MHC_Class_II,sample1,CL:0000322
Cell737,Cell737,Ductal_MHC_Class_II,sample1,CL:0000322
Cell738,Cell738,mDCs_B,sample1,CL:0002150
Cell739,Cell739,T_cells_&_NK_cells,sample1,CL:0000123
Cell740,Cell740,Macrophages_A,sample1,CL:0002150
Cell741,Cell741,Ductal_MHC_Class_II,sample1,CL:0000322
Cell742,Cell742,T_cells_&_NK_cells,sample1,CL:2000054
Cell743,Cell743,Cancer_clone_B,sample1,CL:0000322
Cell744,Cell744,Cancer_clone_A,sample1,CL:0000151
Cell745,Cell745,Macrophages_A,sample1,CL:0002150
Cell746,Cell746,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell747,Cell747,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000064
Cell748,Cell748,Monocytes,sample1,CL:0000123
Cell749,Cell749,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell750,Cell750,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell751,Cell751,T_cells_&_NK_cells,sample1,CL:2000054
Cell752,Cell752,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell753,Cell753,RBCs,sample1,CL:0002320
Cell754,Cell754,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000126
Cell755,Cell755,Monocytes,sample1,CL:0000096
Cell756,Cell756,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000322
Cell757,Cell757,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell758,Cell758,Cancer_clone_B,sample1,CL:0000151
Cell759,Cell759,Ductal_terminal_ductal_like,sample1,CL:0000151
Cell760,Cell760,Ductal_MHC_Class_II,sample1,CL:0000064
Cell761,Cell761,Cancer_clone_A,sample1,CL:0000322
Cell762,Cell762,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell763,Cell763,Ductal_APOL1_high-hypoxic,sample1,CL:0000151
Cell764,Cell764,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000151
Cell765,Cell765,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell766,Cell766,Ductal_CRISP3_high-centroacinar_like,sample1,CL:0000540
Cell767,Cell767,Ductal_terminal_ductal_like,sample1,CL:0000322
Cell768,Cell768,Cancer_clone_A,sample1,CL:0000151
